dispnum3,styear,endyear,outcome,settle,maxdur,mindur,numa,numb,a_stabb,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_stabb,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc,war_names
3239,1816,1816,1,3,1,1,1,1,USA,1816,1816,1,2,-9,3823,17,80,254,8659,101,0.0396975,SPN,1816,1816,0,0,-9,6512,125,10,0,11073,221,0.0463931,
3321,1817,1817,4,1,51,51,1,1,USR,1817,1817,1,1,-9,8425,700,132,15,46600,232,0.1573987,TUR,1817,1817,0,0,-9,-9,121,0,1,25500,801,0.0622179,
1567,1818,1818,1,1,77,77,1,1,USA,1818,1818,1,1,-9,1910,14,90,302,9139,112,0.0361265,SPN,1818,1818,0,0,-9,4681,126,10,0,11241,234,0.0440298,
142,1821,1821,5,3,24,24,1,1,USR,1821,1821,1,2,-9,9654,949,159,14,49300,384,0.1738877,TUR,1821,1821,0,0,-9,-9,181,0,1,26772,836,0.0637889,
147,1821,1821,1,2,83,53,1,1,AUH,1821,1821,1,3,-9,7864,273,72,100,30940,669,0.0985494,SIC,1821,1821,0,0,-9,-9,49,0,-9,6974,483,0.0307325,
167,1821,1821,1,2,30,30,1,1,AUH,1821,1821,1,3,-9,7864,273,72,100,30940,669,0.0985494,ITA,1821,1821,0,0,-9,931,43,10,0,3938,0,0.0108699,
366,1821,1822,5,3,185,185,1,1,FRN,1821,1822,1,2,-9,9082,220.5,165,1207.5,30575,925,0.12618085,SPN,1821,1822,0,0,-9,841.5,161.5,10,0,11541,258.5,0.03330765,
89,1822,1823,1,2,419,419,4,1,GMY,1823,1823,0,0,-9,3377,130,39,1500,11844,212,0.0492057,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,AUH,1823,1823,0,0,-9,6136,272,72,100,31543,674,0.092077,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,FRN,1822,1823,1,2,-9,11652,249.5,180,1285,30820,937.5,0.1391317,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,USR,1823,1823,0,0,-9,9261,684,149,14,50800,495,0.1560409,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
1735,1825,1825,5,3,2,2,1,1,ITA,1825,1825,0,0,-9,1024,27,10,0,4086,0,0.0101648,TUR,1825,1825,0,0,-9,-9,190,0,3,28100,872,0.0632651,
64,1826,1826,4,1,185,185,1,1,USR,1826,1826,1,2,-9,7376,578,157,27,53000,722,0.1500554,TUR,1826,1826,0,0,-9,-9,190,0,3,28442,881,0.0651783,
1622,1826,1826,4,1,1,1,1,1,UKG,1826,1826,1,2,-9,11475,149,520,27703,22576,2513,0.3298248,BRA,1826,1826,0,0,-9,-9,18,0,0,4901,0,0.005787,
1752,1826,1826,4,2,1,1,1,1,FRN,1826,1826,1,2,-9,10604,237,206,1597,31600,983,0.1383329,BRA,1826,1826,0,0,-9,-9,18,0,0,4901,0,0.005787,
146,1827,1828,1,2,259,230,3,1,UKG,1827,1828,1,2,-9,10200,155,695,28581,23031,2609.5,0.32988195,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
146,1827,1828,1,2,259,230,3,1,USR,1827,1828,1,2,-9,7733.5,649.5,181,26,54200,826.5,0.1559816,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
146,1827,1828,1,2,259,230,3,1,FRN,1827,1828,1,2,-9,11043.5,242,218.5,2308,31900,1003,0.13921125,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
189,1827,1829,1,1,684,655,1,1,USR,1827,1829,1,2,-9,7848.666667,700.6666667,183.3333333,26,54566.66667,833.3333333,0.159107867,TUR,1827,1829,0,0,-9,-9,149.6666667,0,3,29138.33333,900.3333333,0.058793867,
367,1828,1828,4,2,40,40,1,1,FRN,1828,1828,1,2,-9,12073,247,221,2379,32000,1010,0.1437191,TUR,1828,1828,0,0,-9,-9,129,0,3,29137,900,0.056853,
1579,1829,1829,4,1,2,2,1,1,GRC,1829,1829,1,2,-9,-9,5,0,4,759,0,0.0010764,TUR,1829,1829,0,0,-9,-9,129,0,3,29491,910,0.0561793,
370,1830,1830,5,3,34,5,1,1,GMY,1830,1830,1,2,-9,3096,130,45,1800,12988,244,0.0454263,FRN,1830,1830,0,0,-9,12618,259,266,2531,32370,1037,0.1401243,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,BEL,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,UKG,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,BEL,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,UKG,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
137,1831,1831,5,3,8,8,1,1,UKG,1831,1831,1,2,-9,8903,150,600,30981,24135,2849,0.2989098,POR,1831,1831,0,0,-9,-9,43,0,0,3098,212,0.0103574,
501,1831,1831,4,1,1,1,1,1,UKG,1831,1831,1,2,-9,8903,150,600,30981,24135,2849,0.2989098,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
3138,1831,1831,1,1,14,14,1,1,FRN,1831,1831,1,2,-9,18174,373,225,2341,32570,1052,0.14995,POR,1831,1831,0,0,-9,-9,43,0,0,3098,212,0.0103574,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,FRN,1832,1833,0,0,-9,14977.5,305,230.5,2666.5,32810,1092,0.14004745,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,BEL,1832,1833,0,0,-9,2412.5,42,94,1964.5,4126.5,196.5,0.03358365,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,FRN,1832,1833,0,0,-9,14977.5,305,230.5,2666.5,32810,1092,0.14004745,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,UKG,1832,1833,0,0,-9,8758,144.5,680,31882,24487.5,2966,0.3021129,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,UKG,1832,1833,0,0,-9,8758,144.5,680,31882,24487.5,2966,0.3021129,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,BEL,1832,1833,0,0,-9,2412.5,42,94,1964.5,4126.5,196.5,0.03358365,
153,1833,1833,4,3,19,19,2,2,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,USR,1833,1833,0,0,-9,8671,900,159,25,58500,905,0.1573244,
153,1833,1833,4,3,19,19,2,2,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,TUR,1833,1833,0,0,-9,-9,129,0,2,30951,949,0.0532578,
153,1833,1833,4,3,19,19,2,2,UKG,1833,1833,1,2,-9,8184,144,730,32261,24602,3006,0.3034555,USR,1833,1833,0,0,-9,8671,900,159,25,58500,905,0.1573244,
153,1833,1833,4,3,19,19,2,2,UKG,1833,1833,1,2,-9,8184,144,730,32261,24602,3006,0.3034555,TUR,1833,1833,0,0,-9,-9,129,0,2,30951,949,0.0532578,
1753,1833,1833,7,1,100,100,1,1,COL,1833,1833,0,0,-9,-9,3,0,0,1625,0,0.0014099,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,
1524,1834,1834,7,1,212,155,1,1,COL,1834,1834,0,0,-9,-9,3,0,0,1655,0,0.0014364,USA,1834,1834,0,0,-9,2073,13,240,1291,14582,295,0.0477735,
301,1835,1835,3,1,61,2,1,1,FRN,1835,1835,0,0,-9,11823,289,295,3282,33260,1163,0.1364132,USA,1835,1835,1,2,-9,2001,14,260,1650,15003,324,0.04852,
1554,1836,1837,7,1,182,122,1,1,MEX,1836,1837,0,0,-9,-9,25,0,1,6765,139,0.00958055,USA,1836,1837,0,0,-9,2846,19.5,285,1917,15633,373.5,0.0522447,
1555,1836,1836,8,3,119,89,1,1,USA,1836,1836,0,0,-9,2571,17,280,1807,15423,356,0.050953,MEX,1836,1836,0,0,-9,-9,25,0,1,6729,138,0.0094143,
1623,1836,1837,8,1,374,374,1,1,COL,1836,1837,0,0,-9,-9,3,0,0,1733.5,0,0.0014495,UKG,1836,1837,0,0,-9,8084.5,143,1000,36075,25483.5,3302,0.30015265,
38,1837,1838,5,3,8,8,1,1,UKG,1837,1838,1,2,-9,8489.5,149,1075,37326,25777.5,3391.5,0.30235515,USA,1837,1838,0,0,-9,3102,20,300,1974.5,16053.5,410,0.05340455,
160,1838,1839,1,2,354,354,1,1,FRN,1838,1839,1,2,-9,12336,302,349,4239,33865,1271,0.13469175,MEX,1838,1839,0,0,-9,-9,25,0,2,6911.5,143,0.00956855,
1553,1838,1838,5,3,30,1,1,1,MEX,1838,1838,0,0,-9,-9,25,0,1,6875,142,0.0096588,USA,1838,1838,0,0,-9,3083,18,310,1922,16264,429,0.0532727,
2013,1838,1838,4,2,31,1,1,1,BRA,1838,1838,1,1,-9,1268,15,0,2,5987,0,0.0085037,UKG,1838,1838,1,1,-9,8531,155,1120,37976,25904,3437,0.3039156,
15,1839,1839,6,1,82,52,1,1,USA,1839,1839,1,1,-9,2012,19,330,2159,16684,471,0.0508006,UKG,1839,1839,1,1,-9,9737,159,1250,39345,26199,3531,0.3093704,
1556,1839,1839,7,3,31,1,1,1,USA,1839,1839,0,0,-9,2012,19,330,2159,16684,471,0.0508006,MEX,1839,1839,0,0,-9,-9,25,0,3,6948,144,0.0094783,
1740,1839,1842,6,1,1067,1067,1,1,UKG,1839,1842,1,1,-9,10332.75,171,1265,41114.75,26610.5,3673,0.306513725,BRA,1839,1842,1,1,-9,2016.75,18.25,0,13.25,6242.75,0,0.009894425,
1540,1840,1841,4,1,59,59,1,1,SPN,1840,1841,1,2,-9,2585,82.5,30,50,13317,440.5,0.02794885,POR,1840,1841,0,0,-9,820.5,31,0,8.5,3343.5,235.5,0.00957725,
371,1842,1842,5,3,72,42,2,1,UKG,1842,1842,1,2,-9,10836,184,1080,42193,27004,3808,0.2976352,ARG,1842,1842,0,0,-9,298,-9,0,21,671,103,0.0031591,
371,1842,1842,5,3,72,42,2,1,FRN,1842,1842,1,2,-9,20211,438,399,5211,34450,1388,0.1579932,ARG,1842,1842,0,0,-9,298,-9,0,21,671,103,0.0031591,
2055,1842,1843,5,3,92,33,2,1,UKG,1842,1843,1,2,-9,10708.5,171,1150,43172,27130,3849.5,0.29811615,ARG,1842,1843,0,0,-9,268.5,-9,0,21.5,685.5,103.5,0.0030802,
2055,1842,1843,5,3,92,33,2,1,FRN,1842,1843,1,2,-9,19201.5,417.5,411,5256,34555,1406,0.1538682,ARG,1842,1843,0,0,-9,268.5,-9,0,21.5,685.5,103.5,0.0030802,
2116,1842,1842,5,3,9,9,1,1,USA,1842,1842,1,1,-9,3011,23,219,2643,18345,610,0.0493011,MEX,1842,1842,0,0,-9,-9,20,0,8,7125,151,0.0087672,
1507,1843,1844,1,2,223,223,1,1,CHL,1843,1844,1,1,-9,-9,2,0,8,1097,0,0.00086945,ARG,1843,1844,1,1,-9,254,-9,0,26,714.5,104.5,0.0030556,
1552,1843,1848,1,2,1625,1625,1,1,USA,1843,1848,1,1,-9,5395.5,36.66666667,602.1666667,4643.666667,20487.66667,819.8333333,0.070750317,MEX,1843,1848,0,0,-9,1144,20.16666667,0,10.66666667,7367.5,159.5,0.010690883,Mexican-American War
123,1845,1846,1,2,360,331,2,1,UKG,1845,1846,1,2,-9,12493,184.5,2205,49645,27889,4109.5,0.31054665,ARG,1845,1846,0,0,-9,218.5,-9,0,30,774.5,107,0.00284975,
123,1845,1846,1,2,360,331,2,1,FRN,1845,1846,1,2,-9,18591.5,372.5,480.5,6490.5,35280,1516.5,0.1393943,ARG,1845,1846,0,0,-9,218.5,-9,0,30,774.5,107,0.00284975,
1625,1845,1846,5,3,347,347,1,1,UKG,1845,1846,1,2,-9,12493,184.5,2205,49645,27889,4109.5,0.31054665,BRA,1845,1846,0,0,-9,1744,21.5,0,31,6784.5,101.5,0.0103355,
373,1846,1846,6,1,159,129,1,1,UKG,1846,1846,1,1,-9,13117,191,2210,50672,28002,4154,0.3028882,USA,1846,1846,1,1,-9,9506,39,777,4863,20794,846,0.0827573,
1498,1846,1847,4,4,92,92,2,1,CHL,1846,1847,0,0,-9,-9,2.5,0,10.5,1184,0,0.00094685,SPN,1846,1847,1,3,-9,2211,121,38,142,13932.5,521,0.02816105,
1498,1846,1847,4,4,92,92,2,1,PER,1846,1847,0,0,-9,-9,10.5,0,0,1798,0,0.00193205,SPN,1846,1847,1,3,-9,2211,121,38,142,13932.5,521,0.02816105,
1586,1846,1846,5,3,182,182,1,1,ARG,1846,1846,0,0,-9,199,-9,0,29,790,108,0.0027282,PAR,1846,1846,1,2,-9,-9,8,0,0,311,0,0.0008368,
78,1847,1848,5,3,185,185,1,1,AUH,1847,1848,1,2,-9,6676,363,177,841.5,36289.5,781,0.0737392,PAP,1847,1848,0,0,-9,-9,12.5,0,-9,2978,169.5,0.00667935,
19,1848,1849,5,1,434,434,1,3,AUH,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,ITA,1848,1849,1,1,-9,3815.5,70,20,58.5,4922,237.5,0.0179754,
19,1848,1849,5,1,434,434,1,3,AUH,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,TUS,1848,1848,0,0,-9,219,6,0,-9,1547,103,0.0034357,
19,1848,1849,5,1,434,434,1,3,AUH,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,MOD,1848,1848,0,0,-9,-9,3,0,-9,576,0,0.0007266,
198,1848,1848,4,2,11,11,2,1,FRN,1848,1848,1,2,-9,22227,387,472,6095,35520,1583,0.1356841,SIC,1848,1848,0,0,-9,-9,49,0,-9,8714,590,0.0223923,
198,1848,1848,4,2,11,11,2,1,UKG,1848,1848,1,2,-9,14883,208,2090,53858,27820,4339,0.3041608,SIC,1848,1848,0,0,-9,-9,49,0,-9,8714,590,0.0223923,
374,1848,1848,5,3,140,140,3,1,SIC,1848,1848,1,2,-9,-9,49,0,-9,8714,590,0.0223923,AUH,1848,1848,0,0,-9,7074,409,158,896,36334,785,0.0760322,
374,1848,1848,5,3,140,140,3,1,FRN,1848,1848,1,2,-9,22227,387,472,6095,35520,1583,0.1356841,AUH,1848,1848,0,0,-9,7074,409,158,896,36334,785,0.0760322,
374,1848,1848,5,3,140,140,3,1,PAP,1848,1848,1,2,-9,-9,13,0,-9,2985,170,0.006696,AUH,1848,1848,0,0,-9,7074,409,158,896,36334,785,0.0760322,
375,1848,1849,6,1,466,466,4,4,GMY,1848,1849,1,2,-9,3508,133,211,5025,16248,532.5,0.0484159,USR,1848,1848,0,0,-9,18003,526,198,107,67100,1035,0.1225773,
375,1848,1849,6,1,466,466,4,4,GMY,1848,1849,1,2,-9,3508,133,211,5025,16248,532.5,0.0484159,UKG,1848,1848,0,0,-9,14883,208,2090,53858,27820,4339,0.3041608,
375,1848,1849,6,1,466,466,4,4,HAN,1848,1848,0,0,-9,244,22,10,56,1759,0,0.0032822,SWD,1848,1848,0,0,-9,593,47,143,52,4743,0,0.0121058,
375,1848,1849,6,1,466,466,4,4,SAX,1849,1849,0,0,-9,299,26,20,-9,1886,0,0.0046492,SWD,1848,1848,0,0,-9,593,47,143,52,4743,0,0.0121058,
375,1848,1849,6,1,466,466,4,4,SAX,1849,1849,0,0,-9,299,26,20,-9,1886,0,0.0046492,DEN,1848,1849,0,0,-9,319.5,34,0,110,2306,132,0.0057353,
375,1848,1849,6,1,466,466,4,4,HAN,1848,1848,0,0,-9,244,22,10,56,1759,0,0.0032822,DEN,1848,1849,0,0,-9,319.5,34,0,110,2306,132,0.0057353,
375,1848,1849,6,1,466,466,4,4,BAV,1849,1849,0,0,-9,800,58,20,91,4512,0,0.0082606,USR,1848,1848,0,0,-9,18003,526,198,107,67100,1035,0.1225773,
375,1848,1849,6,1,466,466,4,4,BAV,1849,1849,0,0,-9,800,58,20,91,4512,0,0.0082606,SWD,1848,1848,0,0,-9,593,47,143,52,4743,0,0.0121058,
375,1848,1849,6,1,466,466,4,4,BAV,1849,1849,0,0,-9,800,58,20,91,4512,0,0.0082606,DEN,1848,1849,0,0,-9,319.5,34,0,110,2306,132,0.0057353,
375,1848,1849,6,1,466,466,4,4,GMY,1848,1849,1,2,-9,3508,133,211,5025,16248,532.5,0.0484159,DEN,1848,1849,0,0,-9,319.5,34,0,110,2306,132,0.0057353,
375,1848,1849,6,1,466,466,4,4,BAV,1849,1849,0,0,-9,800,58,20,91,4512,0,0.0082606,UKG,1848,1848,0,0,-9,14883,208,2090,53858,27820,4339,0.3041608,
375,1848,1849,6,1,466,466,4,4,SAX,1849,1849,0,0,-9,299,26,20,-9,1886,0,0.0046492,USR,1848,1848,0,0,-9,18003,526,198,107,67100,1035,0.1225773,
375,1848,1849,6,1,466,466,4,4,SAX,1849,1849,0,0,-9,299,26,20,-9,1886,0,0.0046492,UKG,1848,1848,0,0,-9,14883,208,2090,53858,27820,4339,0.3041608,
375,1848,1849,6,1,466,466,4,4,GMY,1848,1849,1,2,-9,3508,133,211,5025,16248,532.5,0.0484159,SWD,1848,1848,0,0,-9,593,47,143,52,4743,0,0.0121058,
375,1848,1849,6,1,466,466,4,4,HAN,1848,1848,0,0,-9,244,22,10,56,1759,0,0.0032822,UKG,1848,1848,0,0,-9,14883,208,2090,53858,27820,4339,0.3041608,
375,1848,1849,6,1,466,466,4,4,HAN,1848,1848,0,0,-9,244,22,10,56,1759,0,0.0032822,USR,1848,1848,0,0,-9,18003,526,198,107,67100,1035,0.1225773,
175,1849,1849,1,2,134,134,3,1,SIC,1849,1849,1,2,-9,-9,46,0,-9,8793,595,0.0215962,PAP,1849,1849,0,0,-9,-9,13,0,-9,2999,172,0.0065551,
175,1849,1849,1,2,134,134,3,1,AUH,1849,1849,1,2,-9,15472,408,141,902,36424,793,0.0897646,PAP,1849,1849,0,0,-9,-9,13,0,-9,2999,172,0.0065551,
175,1849,1849,1,2,134,134,3,1,FRN,1849,1849,1,2,-9,19339,465,414,6356,35550,1607,0.1321712,PAP,1849,1849,0,0,-9,-9,13,0,-9,2999,172,0.0065551,
231,1849,1849,4,2,30,30,1,1,AUH,1849,1849,1,2,-9,15472,408,141,902,36424,793,0.0897646,TUS,1849,1849,0,0,-9,224,6,0,-9,1554,105,0.0034184,
236,1849,1849,5,3,39,39,3,1,TUR,1849,1849,0,0,-9,-9,140,0,11,36221,1122,0.0481157,USR,1849,1849,1,2,-9,17790,699,190,107,67800,1041,0.1306852,
236,1849,1849,5,3,39,39,3,1,UKG,1849,1849,0,0,-9,12008,203,2170,56525,27714,4435,0.304769,USR,1849,1849,1,2,-9,17790,699,190,107,67800,1041,0.1306852,
236,1849,1849,5,3,39,39,3,1,FRN,1849,1849,0,0,-9,19339,465,414,6356,35550,1607,0.1321712,USR,1849,1849,1,2,-9,17790,699,190,107,67800,1041,0.1306852,
1493,1849,1849,5,3,92,32,1,1,VEN,1849,1849,0,0,-9,-9,-9,0,0,1301,0,0.000965,NTH,1849,1849,0,0,-9,1416,31,0,1256,3060,224,0.0114292,
1627,1849,1852,1,2,1065,1036,1,1,UKG,1849,1852,1,2,-9,11171.75,200.75,2405,60593.5,27519.75,4583.75,0.303262125,BRA,1849,1852,0,0,-9,601,20.75,0,49.25,7326.25,107.75,0.008388775,
71,1850,1850,4,1,101,101,1,1,UKG,1850,1850,1,2,-9,11606,201,2250,59236,27524,4533,0.3041713,GRC,1850,1850,0,0,-9,245,9,0,15,1006,0,0.0015531,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,BAV,1850,1850,0,0,-9,796,58,20,100,4531,0,0.0081994,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,AUH,1850,1850,0,0,-9,11210,434,155,912,36514,801,0.0837153,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,WRT,1850,1850,0,0,-9,201,8,10,-9,1745,0,0.0025537,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,USR,1850,1850,0,0,-9,18647,871,228,108,68500,1047,0.1443869,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,FRN,1850,1850,0,0,-9,16838,439,406,7191,35630,1632,0.1270325,
154,1850,1850,6,1,65,65,1,6,GMY,1850,1850,1,2,-9,3528,131,211,5750,16608,567,0.0490345,HSE,1850,1850,0,0,-9,147,7,10,121,758,0,0.0017036,
1551,1850,1851,4,3,86,57,1,1,USA,1850,1851,1,2,-9,3913.5,21,496,8522.5,23673.5,1223.5,0.07008925,MEX,1850,1851,0,0,-9,-9,23.5,0,19.5,7678,172,0.0086913,
1566,1850,1850,5,1,214,155,1,1,SPN,1850,1850,1,2,-9,3931,117,38,246,14305,575,0.0307988,USA,1850,1850,0,0,-9,4302,21,572,7607,23261,1174,0.0724712,
1587,1850,1850,2,3,44,15,1,1,BRA,1850,1850,1,1,-9,-9,20,0,51,7313,107,0.0073366,PAR,1850,1850,0,0,-9,-9,8,0,0,346,0,0.0007562,
2012,1850,1851,4,3,62,2,1,1,ARG,1850,1851,0,0,-9,238,4.5,0,53.5,947,113,0.00289765,PAR,1850,1851,1,2,-9,-9,8,0,0,350.5,0,0.0007888,
1528,1851,1852,1,2,309,280,1,1,BRA,1851,1852,0,0,-9,1211,21.5,0,54.5,7400,109,0.0094287,ARG,1851,1852,1,1,-9,-9,6,0,60,986,114.5,0.00269865,
377,1852,1852,4,3,91,33,1,1,FRN,1852,1852,1,2,-9,17272,397,523,7955,35950,1752,0.1276614,TUR,1852,1852,0,0,-9,2812,150,0,12,36754,1159,0.045368,
1506,1852,1852,6,1,122,63,2,2,VEN,1852,1852,1,4,-9,-9,-9,0,0,1353,0,0.0009778,PER,1852,1852,0,0,-9,-9,11,0,0,2112,0,0.0019935,
1506,1852,1852,6,1,122,63,2,2,COL,1852,1852,1,4,-9,-9,2,0,0,2274,0,0.0014551,CHL,1852,1852,0,0,-9,-9,3,0,20,1358,0,0.001036,
1506,1852,1852,6,1,122,63,2,2,VEN,1852,1852,1,4,-9,-9,-9,0,0,1353,0,0.0009778,CHL,1852,1852,0,0,-9,-9,3,0,20,1358,0,0.001036,
1506,1852,1852,6,1,122,63,2,2,COL,1852,1852,1,4,-9,-9,2,0,0,2274,0,0.0014551,PER,1852,1852,0,0,-9,-9,11,0,0,2112,0,0.0019935,
1523,1852,1852,5,3,140,110,2,1,CHL,1852,1852,0,0,-9,-9,3,0,20,1358,0,0.001036,PER,1852,1852,1,3,-9,-9,11,0,0,2112,0,0.0019935,
1523,1852,1852,5,3,140,110,2,1,COL,1852,1852,0,0,-9,-9,2,0,0,2274,0,0.0014551,PER,1852,1852,1,3,-9,-9,11,0,0,2112,0,0.0019935,
1755,1852,1852,3,3,61,2,1,1,USA,1852,1852,1,1,-9,4226,21,508,10270,24911,1380,0.0718738,PER,1852,1852,0,0,-9,-9,11,0,0,2112,0,0.0019935,
57,1853,1856,2,1,1035,1035,1,5,USR,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,TUR,1853,1856,0,0,-9,1521.25,160,5,15.5,34653.5,954,0.039068475,
57,1853,1856,2,1,1035,1035,1,5,USR,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,ITA,1855,1856,0,0,-9,2402.5,52.5,20,110,5009.5,244.5,0.0099076,
57,1853,1856,2,1,1035,1035,1,5,USR,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,UKG,1853,1856,0,0,-9,38589.5,289.5,3233.25,70782.25,27758.25,4998.75,0.30418765,
57,1853,1856,2,1,1035,1035,1,5,USR,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,FRN,1853,1856,0,0,-9,32042.25,538.5,801,11356,36142.5,2019,0.13578285,
57,1853,1856,2,1,1035,1035,1,5,USR,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,AUH,1854,1856,0,0,-9,15358.33333,464.6666667,277,1363.666667,37102,958,0.071346267,
121,1853,1853,5,3,1,1,1,1,USA,1853,1853,1,2,-9,4605,21,730,11570,25736,1496,0.0787437,AUH,1853,1853,0,0,-9,10937,514,241,1207,36866,888,0.0872489,
126,1853,1853,4,3,56,26,2,1,USR,1853,1853,1,2,-9,19928,761,238,142,70100,1069,0.1354154,TUR,1853,1853,0,0,-9,-9,160,0,14,36933,1172,0.0471254,
126,1853,1853,4,3,56,26,2,1,AUH,1853,1853,1,2,-9,10937,514,241,1207,36866,888,0.0872489,TUR,1853,1853,0,0,-9,-9,160,0,14,36933,1172,0.0471254,
3326,1853,1853,5,3,69,69,1,1,AUH,1853,1853,0,0,-9,10937,514,241,1207,36866,888,0.0872489,ITA,1853,1853,0,0,-9,1444,51,20,109,4978,242,0.0115404,
144,1854,1854,5,3,115,85,1,1,USA,1854,1854,1,2,-9,5765,21,668,13632,26561,1623,0.0742004,UKG,1854,1854,0,0,-9,76329,234,3119,70914,27658,4943,0.336089,
304,1854,1854,5,3,217,217,1,1,AUH,1854,1854,1,2,-9,17799,540,255,1205,36983,931,0.0803422,USR,1854,1854,0,0,-9,31358,1100,231,141,70600,1079,0.1369681,
1494,1854,1855,1,2,184,184,1,1,VEN,1854,1855,1,1,-9,-9,-9,0,0,1398.5,0,0.0009801,NTH,1854,1855,1,1,-9,1495,35.5,0,1996.5,3195,292.5,0.0103463,
1565,1854,1854,7,1,40,40,1,1,SPN,1854,1854,1,2,-9,3826,103,33,307,14742,643,0.0238907,USA,1854,1854,0,0,-9,5765,21,668,13632,26561,1623,0.0742004,
2367,1854,1854,3,2,335,335,1,3,GRC,1854,1854,1,1,-9,229,10,0,19,1045,0,0.0012484,UKG,1854,1854,0,0,-9,76329,234,3119,70914,27658,4943,0.336089,
2367,1854,1854,3,2,335,335,1,3,GRC,1854,1854,1,1,-9,229,10,0,19,1045,0,0.0012484,TUR,1854,1854,0,0,-9,-9,160,0,14,37113,1186,0.0458849,
